,mins,maxs
1,-13.402337041414096,-8.490610011207051
2,-8.263980401430768,-3.6843293085653017
3,-19.841468554745408,-3.546905108387953
4,-11.781605195135926,-4.9613487857584175
5,-13.223546543789986,-5.287449675265013
6,-12.577323357223964,-5.328803627979073
7,-10.655271397580142,-6.832490803946155
8,-11.481207607442641,-5.744973067626067
9,-13.292306567098358,-5.129379333054711
10,-11.55903247741094,-2.711957992017137
11,-9.50949515999156,-4.907902847989936
12,-11.595948541688513,-5.295650979983472
